-0.000000,-0.000000,0.475725,0.129967,-0.000000,ovf,-0.000000,ovf,-0.000003,-0.061451,-0.000000,-0.000000,0.000000,ovf,ovf,ovf,-0.000001,ovf
-3.810000,4.110908,0.000000,-0.001341,-0.055150,0.000000,-0.002272,0.056270,4.172520,0.028137,-0.136803,-118.566185,0.000231,-0.002608,0.000000,0.000000,0.000000,0.000000
1.690000,7.961264,0.000000,-0.001233,0.024463,0.000000,-0.002503,-0.027618,8.157621,0.030745,0.084139,-184.984894,0.000079,-0.003270,0.000000,0.000000,0.000000,0.000000
6.200000,6.528236,0.000000,-0.000886,0.089745,0.000000,-0.002582,-0.100718,6.767083,0.034015,0.365164,-128.944199,-0.000144,-0.001448,0.000000,0.000000,0.000000,0.000000
3.690000,-3.633231,0.000000,-0.000347,0.053413,0.000000,-0.002438,-0.062118,-3.821680,0.035463,0.258674,63.401611,-0.000240,0.001903,0.000000,0.000000,0.000000,0.000000
3.330000,-0.521101,0.000000,0.000080,0.048202,0.000000,-0.002198,-0.058114,-0.558987,0.033560,0.270806,8.287180,-0.000167,0.000886,0.000000,0.000000,0.000000,0.000000
-2.950000,-9.090317,0.000000,0.000491,-0.042701,0.000000,-0.002030,0.054775,-9.891843,0.032674,-0.279982,133.693222,-0.000039,0.001772,0.000000,0.000000,0.000000,0.000000
-4.560000,-2.330479,0.000000,0.000638,-0.066006,0.000000,-0.001991,0.089133,-2.589987,0.030902,-0.491950,32.418667,0.000192,-0.000720,0.000000,0.000000,0.000000,0.000000
1.110000,8.207339,0.000000,0.000722,0.016067,0.000000,-0.002184,-0.021728,9.313329,0.031622,0.127860,-109.339050,0.000117,-0.001723,0.000000,0.000000,0.000000,0.000000
2.660000,2.243629,0.000000,0.001047,0.038504,0.000000,-0.002301,-0.056344,2.605531,0.033345,0.349855,-28.989405,-0.000103,0.000401,0.000000,0.000000,0.000000,0.000000
-1.110000,-5.457085,0.000000,0.001443,-0.016067,0.000000,-0.002197,0.028069,-6.519707,0.032944,-0.182338,69.336029,-0.000047,0.000819,0.000000,0.000000,0.000000,0.000000
-1.740000,7.744139,0.000000,-0.001120,-0.025187,0.000000,-0.001848,0.024717,7.804950,0.031981,-0.044126,-302.034515,0.000215,-0.005840,0.000000,0.000000,0.000000,0.000000
-0.650000,1.577778,0.000000,-0.001112,-0.009409,0.000000,-0.002063,0.008495,1.589401,0.037821,-0.015166,-61.506348,0.000053,-0.001195,0.000000,0.000000,0.000000,0.000000
-4.400000,-5.428135,0.000000,-0.000777,-0.063690,0.000000,-0.002116,0.065791,-5.511942,0.039015,-0.159950,156.627151,0.000073,0.002535,0.000000,0.000000,0.000000,0.000000
0.010000,6.383486,0.000000,-0.000624,0.000145,0.000000,-0.002189,-0.000826,6.540355,0.036480,0.002517,-148.311218,0.000121,-0.002806,0.000000,0.000000,0.000000,0.000000
5.280000,7.628339,0.000000,-0.000277,0.076428,0.000000,-0.002311,-0.085242,7.907299,0.039286,0.309053,-150.670578,-0.000081,-0.002012,0.000000,0.000000,0.000000,0.000000
2.240000,-4.400408,0.000000,0.000300,0.032424,0.000000,-0.002230,-0.037118,-4.628759,0.041298,0.154570,76.791031,-0.000188,0.001876,0.000000,0.000000,0.000000,0.000000
-2.500000,-6.861162,0.000000,0.000746,-0.036188,0.000000,-0.002042,0.044602,-7.332726,0.039422,-0.207841,108.710335,-0.000018,0.001493,0.000000,0.000000,0.000000,0.000000
6.640000,13.230173,0.000000,0.000992,0.096114,0.000000,-0.002024,-0.120629,14.389582,0.037929,0.616597,-194.482437,-0.000054,-0.002017,0.000000,0.000000,0.000000,0.000000
-3.110000,-14.113150,0.000000,0.001634,-0.045017,0.000000,-0.001970,0.062393,-15.671629,0.039947,-0.344363,196.160553,-0.000128,0.002787,0.000000,0.000000,0.000000,0.000000
-1.740000,1.983078,0.000000,0.001874,-0.025187,0.000000,-0.001842,0.038316,2.246590,0.037160,-0.225471,-26.375101,0.000146,-0.001114,0.000000,0.000000,0.000000,0.000000
3.850000,8.091539,0.000000,0.002184,0.055729,0.000000,-0.001989,-0.080547,9.405425,0.038275,0.500133,-104.645744,-0.000040,-0.000627,0.000000,0.000000,0.000000,0.000000
-2.410000,-3.531906,0.000000,-0.002005,-0.034885,0.000000,-0.003079,0.033776,-3.561131,0.047416,-0.060297,137.807968,0.000024,0.002447,0.000000,0.000000,0.000000,0.000000
-4.010000,-2.316004,0.000000,-0.001987,-0.058045,0.000000,-0.003103,0.057398,-2.335491,0.044969,-0.102468,90.378418,0.000111,0.001430,0.000000,0.000000,0.000000,0.000000
-3.030000,1.418553,0.000000,-0.001758,-0.043859,0.000000,-0.003214,0.044027,1.438739,0.043539,-0.107037,-40.883156,0.000146,-0.001066,0.000000,0.000000,0.000000,0.000000
-0.370000,3.850357,0.000000,-0.001497,-0.005356,0.000000,-0.003360,0.004148,3.944141,0.044605,-0.012636,-89.438614,0.000086,-0.001726,0.000000,0.000000,0.000000,0.000000
-0.020000,0.506626,0.000000,-0.001127,-0.000290,0.000000,-0.003445,-0.000930,0.523092,0.046331,0.003373,-9.967328,0.000007,-0.000176,0.000000,0.000000,0.000000,0.000000
1.990000,2.909480,0.000000,-0.000750,0.028805,0.000000,-0.003453,-0.034151,3.056173,0.046508,0.142211,-50.701851,-0.000035,-0.000575,0.000000,0.000000,0.000000,0.000000
-0.190000,-3.155556,0.000000,-0.000292,-0.002750,0.000000,-0.003418,0.002968,-3.374147,0.047083,-0.013831,50.022953,-0.000056,0.000911,0.000000,0.000000,0.000000,0.000000
2.370000,3.705606,0.000000,0.000068,0.034306,0.000000,-0.003362,-0.043418,4.027812,0.046172,0.221933,-54.437908,-0.000041,-0.000432,0.000000,0.000000,0.000000,0.000000
-3.290000,-8.192864,0.000000,0.000538,-0.047623,0.000000,-0.003321,0.064412,-9.099210,0.046604,-0.355508,113.894089,0.000002,0.001196,0.000000,0.000000,0.000000,0.000000
