0.475725,0.129959,0.000000,ovf,-0.000000,ovf,-0.000003,-0.061419,-0.000000,-198.399826,0.000000,ovf,-259386.359375,ovf,-0.000001,ovf,0.000000,-0.000000
0.120000,0.767176,0.000000,0.000604,0.001737,0.000000,-0.003060,-0.001437,0.830770,0.047802,0.007343,-11.228281,0.000012,-0.000193,0.000000,0.000000,0.000000,0.000000
-1.470000,-2.301529,0.000000,0.001019,-0.021278,0.000000,-0.003072,0.029822,-2.559439,0.047995,-0.164595,32.036301,0.000032,0.000162,0.000000,0.000000,0.000000,0.000000
-0.950000,0.752701,0.000000,0.001373,-0.013751,0.000000,-0.003104,0.021416,0.849377,0.047833,-0.126023,-9.971741,0.000074,-0.000530,0.000000,0.000000,0.000000,0.000000
-3.730000,-4.024057,0.000000,0.001758,-0.053992,0.000000,-0.003178,0.083863,-4.685919,0.048363,-0.520722,52.136036,0.000138,-0.000420,0.000000,0.000000,0.000000,0.000000
-3.270000,2.402854,0.000000,-0.002255,-0.047333,0.000000,-0.003334,0.046266,2.420827,0.047884,-0.082596,-93.680733,0.000171,-0.001996,0.000000,0.000000,0.000000,0.000000
-3.920000,-0.940877,0.000000,-0.002269,-0.056742,0.000000,-0.003505,0.055775,-0.949541,0.049881,-0.099571,36.745167,0.000133,0.000430,0.000000,0.000000,0.000000,0.000000
-4.350000,-0.622426,0.000000,-0.001984,-0.062966,0.000000,-0.003638,0.063771,-0.633449,0.049451,-0.155040,18.000072,0.000160,-0.000079,0.000000,0.000000,0.000000,0.000000
1.910000,9.061366,0.000000,-0.001734,0.027647,0.000000,-0.003798,-0.031579,9.284264,0.049530,0.096208,-210.532974,0.000090,-0.003726,0.000000,0.000000,0.000000,0.000000
-1.430000,-4.834659,0.000000,-0.001215,-0.020699,0.000000,-0.003888,0.021653,-5.015265,0.053256,-0.078506,95.563965,-0.000037,0.001604,0.000000,0.000000,0.000000,0.000000
-1.350000,0.115800,0.000000,-0.000853,-0.019541,0.000000,-0.003851,0.021594,0.118875,0.051652,-0.089923,-1.972141,0.000061,-0.000284,0.000000,0.000000,0.000000,0.000000
0.870000,3.213456,0.000000,-0.000494,0.012593,0.000000,-0.003912,-0.015805,3.429621,0.051936,0.073648,-50.845375,0.000022,-0.000763,0.000000,0.000000,0.000000,0.000000
-4.280000,-7.454638,0.000000,-0.000044,-0.061953,0.000000,-0.003934,0.078510,-8.113643,0.052699,-0.401303,109.659958,0.000059,0.000992,0.000000,0.000000,0.000000,0.000000
-3.940000,0.492151,0.000000,0.000185,-0.057032,0.000000,-0.003993,0.076523,0.542113,0.051706,-0.422353,-6.785589,0.000217,-0.001273,0.000000,0.000000,0.000000,0.000000
3.170000,10.291743,0.000000,0.000428,0.045886,0.000000,-0.004210,-0.064366,11.677822,0.052979,0.378761,-137.098343,0.000047,-0.001569,0.000000,0.000000,0.000000,0.000000
-7.250000,-21.784914,0.000000,-0.001868,-0.104944,0.000000,-0.002917,0.105647,-21.959280,0.046267,-0.188604,849.776184,-0.000130,0.015583,0.000000,0.000000,0.000000,0.000000
-1.580000,8.207339,0.000000,-0.002042,-0.022871,0.000000,-0.002787,0.021327,8.271915,0.030684,-0.038073,-320.105042,0.000215,-0.006193,0.000000,0.000000,0.000000,0.000000
-1.240000,0.492151,0.000000,-0.001782,-0.017949,0.000000,-0.003002,0.016907,0.498493,0.036877,-0.041104,-14.165156,0.000055,-0.000368,0.000000,0.000000,0.000000,0.000000
3.530000,6.904587,0.000000,-0.001520,0.051097,0.000000,-0.003056,-0.056552,7.074481,0.037245,0.172289,-160.423248,-0.000019,-0.002571,0.000000,0.000000,0.000000,0.000000
0.460000,-4.443833,0.000000,-0.001053,0.006659,0.000000,-0.003037,-0.008570,-4.609373,0.039816,0.031071,87.829857,-0.000110,0.001752,0.000000,0.000000,0.000000,0.000000
1.520000,1.534353,0.000000,-0.000731,0.022002,0.000000,-0.002927,-0.026267,1.610994,0.038064,0.109382,-26.726362,-0.000040,-0.000213,0.000000,0.000000,0.000000,0.000000
-1.520000,-4.400408,0.000000,-0.000368,-0.022002,0.000000,-0.002886,0.026127,-4.703400,0.038278,-0.121747,69.729622,-0.000018,0.000991,0.000000,0.000000,0.000000,0.000000
2.090000,5.225484,0.000000,-0.000139,0.030253,0.000000,-0.002868,-0.038541,5.682017,0.037286,0.197003,-76.795311,0.000003,-0.000923,0.000000,0.000000,0.000000,0.000000
-0.640000,-3.951682,0.000000,0.000242,-0.009264,0.000000,-0.002871,0.012714,-4.390088,0.038209,-0.070173,54.950386,-0.000049,0.000852,0.000000,0.000000,0.000000,0.000000
