-0.000000,0.000000,0.000000,0.000508,0.000000,ovf,-0.000000,ovf,0.000003,-0.061419,-0.000000,-0.000000,0.000000,ovf,-16600855.000000,ovf,-0.000001,ovf
-0.450000,9.770641,0.000000,-0.000703,-0.006514,0.000000,-0.001248,0.006006,9.847761,0.023825,-0.010723,-381.086853,0.000203,-0.007248,0.000000,0.000000,0.000000,0.000000
-4.810000,-6.311111,0.000000,-0.000664,-0.069625,0.000000,-0.001451,0.070609,-6.362074,0.031073,-0.126053,246.198395,0.000070,0.004334,0.000000,0.000000,0.000000,0.000000
0.150000,7.179613,0.000000,-0.000607,0.002171,0.000000,-0.001522,-0.002905,7.287850,0.026739,0.007064,-207.091309,0.000130,-0.003910,0.000000,0.000000,0.000000,0.000000
0.120000,-0.043425,0.000000,-0.000322,0.001737,0.000000,-0.001652,-0.002213,-0.045808,0.030649,0.006743,1.038748,-0.000007,0.000045,0.000000,0.000000,0.000000,0.000000
3.390000,4.733334,0.000000,-0.000043,0.049070,0.000000,-0.001644,-0.054579,4.906072,0.030604,0.197882,-93.483345,-0.000055,-0.001235,0.000000,0.000000,0.000000,0.000000
3.890000,0.723751,0.000000,0.000381,0.056308,0.000000,-0.001590,-0.064623,0.758856,0.031839,0.269103,-12.589400,-0.000160,0.000492,0.000000,0.000000,0.000000,0.000000
-2.840000,-9.741693,0.000000,0.000827,-0.041109,0.000000,-0.001429,0.050644,-10.409484,0.031347,-0.235996,154.324371,-0.000060,0.002283,0.000000,0.000000,0.000000,0.000000
-4.470000,-2.359429,0.000000,0.000990,-0.064703,0.000000,-0.001370,0.083310,-2.569405,0.029064,-0.425838,34.726803,0.000177,-0.000499,0.000000,0.000000,0.000000,0.000000
-1.670000,4.053007,0.000000,0.001091,-0.024173,0.000000,-0.001546,0.033789,4.496372,0.029563,-0.186491,-56.280724,0.000176,-0.001569,0.000000,0.000000,0.000000,0.000000
-5.380000,-5.370234,0.000000,0.001316,-0.077876,0.000000,-0.001723,0.112132,-6.099590,0.031132,-0.659841,71.609558,0.000187,-0.000426,0.000000,0.000000,0.000000,0.000000
1.460000,9.900917,0.000000,0.001393,0.021134,0.000000,-0.001910,-0.029695,11.511051,0.031558,0.184380,-128.073166,0.000137,-0.001926,0.000000,0.000000,0.000000,0.000000
-7.240000,-11.189195,0.000000,-0.001586,-0.104799,0.000000,-0.002397,0.105763,-11.279037,0.035901,-0.188812,436.474121,0.000072,0.007757,0.000000,0.000000,0.000000,0.000000
-6.800000,0.636901,0.000000,-0.001784,-0.098430,0.000000,-0.002469,0.098956,0.641323,0.028144,-0.176659,-24.817797,0.000280,-0.000962,0.000000,0.000000,0.000000,0.000000
-2.450000,6.296636,0.000000,-0.001804,-0.035464,0.000000,-0.002749,0.035200,6.391477,0.029106,-0.085577,-181.620010,0.000216,-0.003669,0.000000,0.000000,0.000000,0.000000
-3.160000,-1.027727,0.000000,-0.001633,-0.045741,0.000000,-0.002965,0.047407,-1.054436,0.032775,-0.144429,23.910742,0.000108,0.000069,0.000000,0.000000,0.000000,0.000000
